row_number,source,author_id,gold_hsd_answer,local_llm_prediction,failure_type,cleaned_text
76,measuring_hate_speech,pseudo_dab31068fead,0,1,false_positive,She must be brain dead.
77,measuring_hate_speech,pseudo_d31250dab3ba,0,1,false_positive,They need to be deported there illegally here
78,measuring_hate_speech,pseudo_bdf2b089d285,0,1,false_positive,"[USER] [USER] [USER] As I've explained before, Nazis kill for a purpose, even if it's a terrible and misguided one. TERFs kill for nothing. Pure hate."
81,hatexplain,pseudo_60ce87ebb4ae,0,1,false_positive,guess you gotta be a bum bitch to get shit from niggas now a days
83,hatexplain,pseudo_be99156a7c17,0,1,false_positive,got my mail all women home in the afternoon met [PERSON] at mailbox she get people magazine delivered i pointed to her mag and asked how old were you when you began to hate the truth she made a dirty asian face at me
87,davidson,pseudo_de305ded085a,0,1,false_positive,"""[USER]: [USER] ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;"
89,dynahate,pseudo_ef89f35b2412,1,0,false_negative,I would be lying if I said I like jungle bunnies
91,hatexplain,pseudo_a49dfc50541a,0,1,false_positive,i wonder how many illegal immigrants will still seek sanctuary in california lol
92,measuring_hate_speech,pseudo_011ec41e494e,0,1,false_positive,[USER] 1 cuz she suck dick
94,dynahate,pseudo_8d0e2784b257,1,0,false_negative,"Hey this is nothing more than the price acting, of course halal meat and pork is cheaper than cattle meat. Of course people will usually go for the cheaper option, even if its dirtier, and there's where the economy changes pure british culture, but the consume of what is part of tradition will continue. Also the space isn't really that important since most of what the gross chinese consume is imported, look at how much soy they buy from [LOCATION] and how much meat they import"
95,toxic_spans,pseudo_f3635072f44c,0,1,false_positive,"Black and Brown People still own millions of Black and Brown slaves.\nThey castrate them, rape them and even kill them. \nSo who are you calling a supremacist, white nationalist or racist. Little Brown woman?"
101,hatexplain,pseudo_e7ee0cc9fa49,0,1,false_positive,that was the plan all along to fund train arm bring the wahabi terrorists who terrorised the levant to white countries just another part of the never ending saga of the jewish holocaust of humanity
102,davidson,pseudo_4ad164c3403e,0,1,false_positive,[USER] [USER] [USER] good bitch choke
110,toxic_spans,pseudo_2c1e8884ecaf,0,1,false_positive,"as I said before, ass****"
112,dynahate,pseudo_82ee8bf2e440,0,1,false_positive,"We need to look out for Asians. Read this: ""Asian patients had higher odds of being hospitalized than white patients even though they were less likely to receive positive COVID-19 test results""."
117,measuring_hate_speech,pseudo_0431a7ab55fa,0,1,false_positive,I'm all for immediate deportation of these ppl.
124,hatexplain,pseudo_73d5634269f7,0,1,false_positive,<user> ok u still get passed onto high school retard
127,davidson,pseudo_292951b74656,0,1,false_positive,dis Morgan hoe in da middle of erything....
131,dynahate,pseudo_225539ad3134,1,0,false_negative,What are your best gay jokes?
132,dynahate,pseudo_ccc16b1cdec1,0,1,false_positive,"Islam might be correct on a few of issues not all of them. Now, nearly all religions not only has, but condones, at some point, child rape and inbreeding, including Christianity, Hindus... they all do it. Still, it's a disgusting reason to call them desert dwellers and inbred pakis. Stop scapegoating it, look at your own culture and biases and make that strong again"
137,davidson,pseudo_f1cdc9ce5410,0,1,false_positive,I'm organizing a cease fire between bald headed bitches and weave !
143,davidson,pseudo_c6176f23e17f,0,1,false_positive,[USER] sup pussy;)
145,hatemoji_build,pseudo_bdaf17266b00,1,0,false_negative,women are actual 🤡
147,davidson,pseudo_c18adf8158a7,0,1,false_positive,No nigga a leave a chick with some good pussy unless he just paper chasin
154,toxic_spans,pseudo_8d9cad2b5f8f,0,1,false_positive,"Good, flagged again for more harassment.  Hope you're butt is 86 from this site. Good riddence."
155,davidson,pseudo_3655e5845c3a,0,1,false_positive,"[USER] Stop being mean, bitch! ))))))):"
156,hatexplain,pseudo_803624e07bcd,0,1,false_positive,another liberal lie disproved it quite the opposite but the leftist anti american mainstream media would have you believe otherwise conscious and aware no not the ghetto patois woke used by assholes and dipshits patriots know the truth
157,measuring_hate_speech,pseudo_38ada662ae12,0,1,false_positive,"[USER] [USER] Bruh don't call people crackers although you are white. It references when slave owners ""cracked"" theyre whip at the slaves."
160,toxic_spans,pseudo_ecbb76a7cd5b,0,1,false_positive,"""We’ve already been paying the surcharge for 10 years and to extend it would be virtually painless. ""\n\nFoolish to be believe THAT will even be enough.  They're just selling you down the road..bit by bit."
166,davidson,pseudo_f23d916e400a,0,1,false_positive,RT [USER]: We all know a faggot named Luke
171,measuring_hate_speech,pseudo_7b4c912e6c46,0,1,false_positive,get those kids out of concentration camps first you dick URL
172,hatexplain,pseudo_b2d9585965f1,0,1,false_positive,i am so sick of watching them be rewarded because they are ghetto iq morons
179,dynahate,pseudo_ae974366a4d4,0,1,false_positive,"Look at this ""And after giving his moral lecture on the undeniable jewish superiority, Rabbi Pornhub went to a ritual to suck a babies penis. Even though he had Herpes, which he had contracted at the local brothel from a polish slave girl"" Who writes this shit?"
181,davidson,pseudo_231c1b75b14f,0,1,false_positive,"[USER] [USER] [USER] And you thought a camera would steal your soul. Shut the fuck up, you stupid twat."
182,davidson,pseudo_fef11b3fd2c2,0,1,false_positive,"""[USER]: Fat hoes get chose"" lol"
184,hatexplain,pseudo_5afba5b2c2e7,0,1,false_positive,she did not dyke her haircut did she dat bod tho
185,measuring_hate_speech,pseudo_b07e961a9ca9,0,1,false_positive,You're mentally ill... get back on your meds and go bang a few hookers.
186,measuring_hate_speech,pseudo_36e600b2a108,0,1,false_positive,Stfu stupid ass bitch
187,dynahate,pseudo_e1b2a5f7201d,0,1,false_positive,"The Yaquis and Aztecs of [LOCATION] look quite Asian but I think the Plains Indians and Cherokees intermarried with the Solutreans (Early Europeans) that were here before them ([DATE]). All tribes are not created equal. An easy way to size up the ancestry of Indians is to note the distance between shoulder and elbow. If they are close together meaning they have a short upper arm, they're probably related to Asian people. One thing I noticed about the tribes in [LOCATION] is they seem to interact with Indians of different tribes more than they do with whites."
197,davidson,pseudo_f950bc908061,0,1,false_positive,[USER] on god niggaa be tryna say aids been out longer and shit like no bitch Ebola been out here &#128514;
200,measuring_hate_speech,pseudo_5da57ace754d,0,1,false_positive,And ur probably a product of incest.
203,toxic_spans,pseudo_274eaead26c1,0,1,false_positive,Yes. And you're a moron if you think so.
204,toxic_spans,pseudo_be71a87f48db,0,1,false_positive,"So you are an idiot! Read up on the differences between our fine democracies. The Liberal party got 39% , which was than the other parties. All Trudeau had to do was win his riding."
207,dynahate,pseudo_c07a335cba02,1,0,false_negative,"Refugees are forced to leave their countries because of islamic culture for sure in addition to war, violence, and/or famine."
208,measuring_hate_speech,pseudo_db72e9e324fa,0,1,false_positive,why u posting dis shit. we treating these hoes like hoes fuck john
210,davidson,pseudo_ff4cc6c6c3bd,0,1,false_positive,Happy birthday bitch &#128526;[USER] [URL]
211,hatexplain,pseudo_2bf77a5c4f3f,0,1,false_positive,do you really think this black ghetto whore would stand a chance her husband was a loser and people know she was racist spent money like it wa water and almost starved our kids to death with her lunch programs be like running hillary again
214,hatexplain,pseudo_7274bbaa9be1,0,1,false_positive,do not lose sight of the fact that the violence does not happen if violent protestors do not show up if the alt right dudes were there by themselves none of this drama happens i am just sayin if a nigga wanna brandish a swatstika or confederate flag then let him do it
215,measuring_hate_speech,pseudo_9ae714819805,0,1,false_positive,"""We need to bring in immigrants to do the jobs whites won't do."" What jobs weren't getting done before the immigrants again? URL"
219,toxic_spans,pseudo_a5e54a2a7043,0,1,false_positive,Gun or not he was hell bent on killing the man who got his woman! Crime of entitlement! Lock his ass up for Life in [PERSON]!
222,toxic_spans,pseudo_f34ca97bceed,0,1,false_positive,"What a scumbag, mercilessly killing a [AGE], death would be too good for him, because when he faces his judgment day it will be followed with an express elevator down or non-existence."
223,hatexplain,pseudo_46f2ff21ccb2,0,1,false_positive,the msm terminology went from illegal aliens to undocumented immigrants to just immigrants over the last couple of years i know many legal immigrants that i am glad are here deliberately confounding those people with law breakers is disgusting newspeak msm illegals propaganda
224,toxic_spans,pseudo_172e05f3f258,0,1,false_positive,"you're an utter twit. an entire industry was set up to provide trumpettes with fake news, and the chief purveyor of false news.steve bannon.is trump's right hand man. you trumpettes would have squealed like stuck pigs if the editor of wapo had left to join the [ORG].but you can't see the insanity of bannon shilling for trump."
226,measuring_hate_speech,pseudo_8a521be58f00,0,1,false_positive,That's because Italy wasn't worth fighting for but America was. The Italian resistance should have just moved to [LOCATION] and gotten some decent equipment and support. Perhaps the same way American Jews push liberal stepper laws and think America isn't worth fighting for but Israel is an armed camp.
227,hatemoji_build,pseudo_c7b509a1b639,0,1,false_positive,👑 that nigga
228,measuring_hate_speech,pseudo_504d40c064b1,0,1,false_positive,"[USER] depew If that's the case then we can teach Americans the skills to do the jobs. I'm sure most Americans would rather have a good paying job then be unemployed, flip burgers, or out on the streets. We really don't need that many immigrants coming in."
230,measuring_hate_speech,pseudo_06e2e2d84f98,0,1,false_positive,bitch ur white.
231,hatexplain,pseudo_888da4371a97,0,1,false_positive,miss lindsey is john mccains boy toy miss lindsey is a demented faggot
234,measuring_hate_speech,pseudo_92401ae9b873,0,1,false_positive,Not to be antisemitic or anything but I really hope we put all these pedophiles in jail
236,measuring_hate_speech,pseudo_6b1ba6009a69,0,1,false_positive,"[USER] this is a disgrace to an african country, look how apartheid is let to continue. [EMOJI]"
238,hatexplain,pseudo_10de184db3b8,0,1,false_positive,ppl fuckin retarded
239,toxic_spans,pseudo_7a62ba64b65c,0,1,false_positive,Rumor has it you plan on visiting [LOCATION] that you can kiss Putin's butt in person.  Enjoy.  Hows your sex change coming?
241,measuring_hate_speech,pseudo_a25e9cc6fda4,0,1,false_positive,"The bible is full of bullshit, nonsense and fairytales. Screw your bible."
244,hatexplain,pseudo_09e24690bf4e,0,1,false_positive,still the same nigga i am evolving doe
245,measuring_hate_speech,pseudo_78ac8eea5368,0,1,false_positive,"Typical overreacting - the issue isn't that you claim to be exceptional in one thing with very low odds, but many. Your continuing overreactions just illustrate my point. I doubt you have a micro peen - but maybe given your obvious beta tendencies like hating women."
247,dynahate,pseudo_f32a674fe748,0,1,false_positive,if you're a glasses wearer you should stick to your kind and only mix with other glasses wearers
249,measuring_hate_speech,pseudo_68075ab5046e,0,1,false_positive,Tbh the virgin Mary prolly wasnt a virgin and just lied and fucked shit up trying to cover her tracks.
257,dynahate,pseudo_0f3b6398c54a,0,1,false_positive,i hate blacking out
259,davidson,pseudo_625146a48058,0,1,false_positive,I was damn near flossing with the bitch's tampon string. Awful &#8220;[USER]: Have anything stopped you from eating pussy? If so what was it?&#8221;
263,measuring_hate_speech,pseudo_fb448f55ab10,0,1,false_positive,incel draft bro if u don't get some coochie by the time ur 18 they send u to the incel corps to fight the most useless pointless and dangerous wars until u either become a chad or die
265,toxic_spans,pseudo_84af6397f965,0,1,false_positive,"Go check your nylon net, kill kill kill!"
267,hatexplain,pseudo_3d256a2c16f3,0,1,false_positive,the neo pagan classical alt right will worship a genderqueer odin a gay hitler and the 3 rd season of the wire on blu ray gonna be big
269,dynahate,pseudo_f8a206067e25,0,1,false_positive,"Right so when a country like Japan acts like this, they are bad and their culture is backwards and subhuman. But when the west does this (despite advertising the complete opposite and smugly claims moral superiority over everybody else on Earth with this propaganda) the self-interest is completely justified and understandable and all the refugees at sea deserve to die. Fucking hypocrites."
272,measuring_hate_speech,pseudo_7909d182ceef,0,1,false_positive,"[USER] [USER] [TAG] [TAG] israel broke the conditions, therefor israel is illegal and all land empires zionists illegally annexed must be returned to the palestinians. hands off jerusalem"
273,hatexplain,pseudo_a5847028e002,0,1,false_positive,<user> yea both sides need to stop being retarded
277,hatexplain,pseudo_ebaad690c017,0,1,false_positive,you retards do not even know what a t4 form is
279,dynahate,pseudo_27416d508007,1,0,false_negative,"you can take trash out of the 3rd world, but you can't take the 3rd world out of trash."
280,dynahate,pseudo_388c0b5b544a,1,0,false_negative,"I'm [PERSON] with Indo parents and Indo grandparents except one who is fully German. My mom's side is a true Indo family (they live traditionally like animals) and even though my dad's family largely lives abroad, the family members I've been in touch with were all identifying as Indo too."
281,measuring_hate_speech,pseudo_1f525181a1be,1,0,false_negative,"I'm not saying you said that, I'm just saying that if you find a slur offensive (in this case the word niga) you'd find every other slur offensive. For me it's the opposite, I find none of them offensive because unless the context is bad no one should give a shit. I can call my black friend ""niga"" in a friendly way or in an evil way. There's a difference"
282,hatexplain,pseudo_cd5afbdf3fdd,0,1,false_positive,louis said i am only here to collect my award and get the fuck out of these premios tvynovelas usa edition bye hoes i love you all 💋
292,davidson,pseudo_0568222b823f,0,1,false_positive,[USER] [USER] did you get your volcano yet faggot
296,dynahate,pseudo_8c8759ed306e,1,0,false_negative,I am not racist but I wouldn't want a curry munching wife
297,davidson,pseudo_bd59709228ca,0,1,false_positive,If you was a bitch nigga in 2013 you still Gona be a bitch nigga in 2014 &#128175;&#128175;
298,measuring_hate_speech,pseudo_45842171bd00,0,1,false_positive,I mean the Jews are giving the torch to Israel to make the Palestinian suffer.
307,dynahate,pseudo_4025b5eddfe4,0,1,false_positive,I do not think that all blacks are scum
310,toxic_spans,pseudo_c042a1ba2266,0,1,false_positive,That b*itch ain't gettin my car no matter what that Feminazi divorce judge sez...
311,hatecheck,pseudo_ca8b347c3bf6,0,1,false_positive,"You can't seriously believe that ""gay people are lesser beings""."
312,hatexplain,pseudo_1a9545901820,0,1,false_positive,how dare you oakland mayor libby schaaf and governor jerry brown put our national security at risk think that illegal immigrants are more important than american citizens put american citizens and law enforcement officers lives in danger
313,davidson,pseudo_810bcbe0ad71,0,1,false_positive,RT [USER]: All these hoes want is sum Good Dick &amp; attention -All HBCU
314,davidson,pseudo_8f348bd81f69,0,1,false_positive,"RT [USER]: ""Go talk to your other hoes""\n\n [URL]"
316,measuring_hate_speech,pseudo_d9f5431b13ba,0,1,false_positive,Chapas are morons that want to give sex reassignment surgery to transvestites while in jail. On public dime.
320,toxic_spans,pseudo_a7d416a74732,0,1,false_positive,FUCK YOU!!!!!
325,davidson,pseudo_0f743c0f7a7e,0,1,false_positive,"RT [USER]: Sooner or later ya pussy gon tell\nMe the truth, let's hope it's not while I'm in it, cause Ima kill u"
330,toxic_spans,pseudo_51ea51ac2b34,0,1,false_positive,"You poor dumb f#ck.  This is the problem with elections, your vote counts the same as an intelligent persons vote."
331,davidson,pseudo_48451a8171c3,0,1,false_positive,[USER] [USER] [USER] They do. Why else do teachers constantly bitch about pay?
334,measuring_hate_speech,pseudo_c83c18dfcb36,0,1,false_positive,"""they open the door of the [TAG] to every oppressing transgressor and shut the gates of prison over noble free men of god."" don't forget the imprisoned scholars in your du'as tonight! [EMOJI] url"
335,toxic_spans,pseudo_8777d5b1e443,0,1,false_positive,"Looks like we'll be sacrificed to try and appease the exposed elite (see pizzagate).\n\nAnd isn't it odd that Trudeau's foundation looks like it models EXACTLY the corrupt [ORG]?  Pay for play.  Even the name is the same.  How stupid are they?\n\nBut seriously, kill every Canadian and it won't change the climate one bit.  So yes this is absolutely ludicrous.  Enjoy trying to feed your family and heat your homes."
336,davidson,pseudo_89a2b79a0eec,0,1,false_positive,[USER] I called people kikes and a lot of fucks
343,hatecheck,pseudo_69b071a8a880,0,1,false_positive,I will embrace you and any other trans people like you.
346,measuring_hate_speech,pseudo_b4bf002c2878,0,1,false_positive,Ash like the jews lol
351,davidson,pseudo_d4238331b99b,0,1,false_positive,my chick badder than your basic bitches
352,hatexplain,pseudo_eb52602d8891,0,1,false_positive,the lil girl who got her dread cut in school lies about the whole thing i know them white ppl having a field day in the comment section smh
354,davidson,pseudo_8e47cb62f05d,0,1,false_positive,[USER] fight me hoe
356,davidson,pseudo_5cc11e86b894,0,1,false_positive,I am the real vampire nigger.
357,davidson,pseudo_35e3367386db,0,1,false_positive,DO IT DO IT! You'll still e a fag but do it(: &#8212; I'll pass Heidi. ;) [URL]
360,hatexplain,pseudo_8bb49c6b9148,0,1,false_positive,note how quickly the left wing hate media site nbc goes to bashing white people and citing far left hate group splc in reaction to an armenian act of violence
362,measuring_hate_speech,pseudo_d11b5806c91d,0,1,false_positive,suck my cock and balls
363,davidson,pseudo_4ea01e5e6b92,0,1,false_positive,My sister is such a bitch &#128514;&#9994; [URL]
364,davidson,pseudo_c6e925f13c38,0,1,false_positive,[USER] speaking of little bitch you didn't even do all your squats you little bitch kept talking to distract everyone else &#128530; &#128587;&#128064;&#128073;&#128590; icu
368,davidson,pseudo_36cb0a590d3a,0,1,false_positive,' when it comes to pussy I have no fucking friends' - hostel iii is really what we're watching right now
369,toxic_spans,pseudo_2622cb66e575,0,1,false_positive,"What possesses these idiots to carry out such wanton acts of vandalism? did his mama not hug him enough, or maybe didn't give him enough cracks.  These subhumans needs to be taken to Kahoolawe and live with the undetonated bombs, and he should albatross killer with him."
370,davidson,pseudo_fd961562076d,0,1,false_positive,Ihate a nosie bitch '
372,toxic_spans,pseudo_c001fad5baee,0,1,false_positive,"So you can't answer the question, huh?  Prove that most black people killed by cops are killed by black cops. Let's start there with your race obsession. Let's see you provide some facts first. Killer strawman at the end, though."
373,davidson,pseudo_6c562001f7d4,0,1,false_positive,[USER] ok!!!!! Stupid bitch
374,hatexplain,pseudo_7476e2dc2289,0,1,false_positive,<user> legal immigrants is that hard for you to understand do i need to write it in crayons
376,toxic_spans,pseudo_930b1b388f00,0,1,false_positive,"Trump is an incompetent, unaware, mentally unbalanced buffoon.\nHis quote: I'm like a smart guy.\nNo, he's not like a smart guy, ….he's a self inflated imbecile.\nHe is the number one threat to our nation's security.\nCongress should exercise it's responsibility and remove him from office now."
379,davidson,pseudo_22e0aa41f131,0,1,false_positive,"He needs too! We win titles when he smacks hoes! RT [USER]: Big Ben gone smack ""another"" hoe after this lost &#128514;&#128514;&#128514; sorry [USER]"
380,measuring_hate_speech,pseudo_51fb8dbadbf5,0,1,false_positive,"Loser, who user gay-dars anymore, its all in the anti-gay detector 3000s now. Get yourself together"
382,hatemoji_check,pseudo_6f012a612f42,1,0,false_negative,let's just [EMOJI] those [EMOJI]
384,toxic_spans,pseudo_b0e74b56c21a,0,1,false_positive,"When our pathetic racist president [PERSON] said police acted stupidly in the [LOCATION] case he declared open season on police across [LOCATION]. He is to blame for the racial divide in [LOCATION].  And in other news , blacks continued to slaughter other blacks last weekend in [LOCATION]. Where is the protest over that ?  Black lives clearly don't matter if blacks are the ones doing the killing."
385,toxic_spans,pseudo_c0536454c075,0,1,false_positive,SEND the CHICKEN to PUERTO CESSPOOL\nthe SPICCK SCUM CAN SEE WHAT IT LOOKS LIKE---WITHOUT A PR PUNK RAPING IT\nLETS ALL SEND PR A LIVE CHICKEN---THEY STILL NEED SEX PARTNERS
392,measuring_hate_speech,pseudo_1cec2bd80705,0,1,false_positive,"The n-word twitter post was probably meant to be an edgy 'joke', and then gradually the racism and bigotry turned unironic."
397,dynahate,pseudo_ddfdd2591f64,1,0,false_negative,"Roma gypsies aren't really seen in the [LOCATION] that much, let's keep it that way. I think they're mostly found in [LOCATION]."
399,toxic_spans,pseudo_84454cf881a0,0,1,false_positive,"Hope you get a painful disease, and then tell your poor self in the mirror how you deserve nothing. Good luck jerk!"
401,toxic_spans,pseudo_f289e9d5ab88,0,1,false_positive,I love these career politicians who think they should be in office despite repeatedly losing elections. Must secretly be a masochist...
403,toxic_spans,pseudo_ce9857be9ddd,0,1,false_positive,"clearly dante a sick delusional liberal trolling idiot,notice all he does is cut and paste the same thing over and over and over, what a clown"
404,toxic_spans,pseudo_2fafbd5f9874,0,1,false_positive,the ignorant bitch and her union thugs will not back off at all. they are making money off all this disaster.
406,toxic_spans,pseudo_c51b9aadef00,0,1,false_positive,Piece of shit post from a piece of shit poster.
407,toxic_spans,pseudo_a07d849acd1e,0,1,false_positive,"""Complete and utter BS.""\n\nEverything John publishes is BS - he is just a troll - and not even a good one at that"
409,measuring_hate_speech,pseudo_917c4976ba57,0,1,false_positive,Maybe she should stop fucking stupid men.
413,toxic_spans,pseudo_97e080af564e,0,1,false_positive,"For the love of God do NOT let this scumbag on our campus!  Stay out of our city!  You, nor any of these dumbass, inbred white-trash supremacists are wanted!  YOU ARE NOT WELCOME!"
418,measuring_hate_speech,pseudo_d54bea4823c0,0,1,false_positive,Men getting targeted in the RIP Bianca tread right now which completely divides us and has nothing to do with remembering Bianca. Shame on you idiots that are adding fuel and misinformation to this. Not all men are monsters and women can be one too. URL
419,measuring_hate_speech,pseudo_d13f9de771c8,0,1,false_positive,[USER] Robertson bitch Im American if you don't like it you get the fuck out. Go snuggle up to saudi arabia with yo kkk sheets
423,hatemoji_check,pseudo_d16bd79e0b05,1,0,false_negative,Women are like 🦟
426,measuring_hate_speech,pseudo_57d4a86b559e,0,1,false_positive,"Gay Jew pesters geriatric smug athiest. Who fuken cares? Man, twitter sucks."
439,measuring_hate_speech,pseudo_3a1d5afd6dd9,0,1,false_positive,"> he ugliest, disfigured, mentally retarded women have a far better chance of getting laid than your average looking guy. Women just have to put an ad up for sex online and there will be guaranteed hundreds of thousands of men interested because they are mostly in it for the pleasure. Meanwhile average or below average men have to try really hard just to get a DATE in the first place, let alone get laid. Jesus this post is full on incel-dom."
441,measuring_hate_speech,pseudo_c27b2e884808,0,1,false_positive,"Never mind the atrocities dealt to the First Nations, including taking their land, commiting cultural genocide and commiting regular genocide, taking them out on starlight tours and letting them freeze to death, sterilizing them without their consent or knowledge, and so on."
442,measuring_hate_speech,pseudo_50155fbbf7ac,0,1,false_positive,[USER] 2 Bitch's with potty mouths!
445,hatemoji_check,pseudo_7124b4493370,0,1,false_positive,Those kinds of bullies ought to be 🔫
447,measuring_hate_speech,pseudo_e338975d723d,0,1,false_positive,"You're both straight retarded. There, problem solved. Fuck off. Oh, and shove those downvotes straight up your asses."
448,measuring_hate_speech,pseudo_549945aac57c,0,1,false_positive,Yea aweful americans standing up to protect their country from radicals. RACIST
450,measuring_hate_speech,pseudo_d97000fa6210,0,1,false_positive,"[PERSON] said niggas always tryna ""you ain't even fat"" they way into some pussy 😂"
453,measuring_hate_speech,pseudo_6005ef4d24a0,0,1,false_positive,LESBIANS DONT WANT TO DATE MEN ARE YALL FUCKING DUMB
454,measuring_hate_speech,pseudo_797442730380,0,1,false_positive,White supremacists are terrorists! Why are we not shipping them out of our country?? URL
