source,author_id,text,hsd_answer
davidson,pseudo_d7e479066553,RT @_TrillKVLE: @Visually_Gifted I'll find you a ride. But it's no pussy shit and that was some pussy shit &#128548;&#128514;,0
davidson,pseudo_07eb35b77a47,@CeeNCrumpets self low down black bitch?,0
davidson,pseudo_d0f115c91609,"&#8220;@UTRagers: COLT MCCOY WINS&#8252;&#65039;
#HookEm&#128002;&#8221; he's still trash",0
dynahate,pseudo_74b2e78f7df4,We all know that Israelis like to build and Arabs like to bomb crap and live in open sewage. This is not a difficult issue. #settlementsrock,1
dynahate,pseudo_7fdcd8765fde,My name is Mustafa but everyone calls me Mussie,0
dynahate,pseudo_25da52a93877,worthless black chimp- I get called that almost daily now,0
measuring_hate_speech,pseudo_4cd760767596,They think that all of us LATINX are trash so why not die and fight for Russia and prove we are not trash...Revenge is good for the soul and we can free ourselves from the Evil Empire(USA) and make Latin America Great Again...I really hate Americunts,1
measuring_hate_speech,pseudo_6d47873dcfda,And we thought fags couldn't get gayer,1
davidson,pseudo_1dd2ab70bcb3,Reathie scared thenna bitch,0
dynahate,pseudo_285c7c6d2770,she should love fucking physics as she takes physics classes at her spare time,0
davidson,pseudo_53bcead36e5c,I swear I worry about me and nothing's but me. I keep no other bitch on my radar.... I'm not gay.... &#127383;,0
hatemoji_build,pseudo_109d400cf3a1,i'm so OCD 😉,1
measuring_hate_speech,pseudo_dab31068fead,She must be brain dead.,0
measuring_hate_speech,pseudo_d31250dab3ba,They need to be deported there illegally here,0
measuring_hate_speech,pseudo_bdf2b089d285,"@ORlyYahRly @balis_nicky @MRKHvoice As I've explained before, Nazis kill for a purpose, even if it's a terrible and misguided one. TERFs kill for nothing. Pure hate.",0
convabuse,pseudo_000430300022,Could you elaborate on that?,0
dynahate,pseudo_71ad38409f28,That bastard took the money and is stashing it in an offshore tax haven that he just so happens to have an apartment.,0
hatexplain,pseudo_60ce87ebb4ae,guess you gotta be a bum bitch to get shit from niggas now a days,0
davidson,pseudo_de9b8cc70ebc,&#8220;@Tom_2Times: Making weed brownies tonight&#8221; goin slide me a batch relo,0
hatexplain,pseudo_be99156a7c17,got my mail all women home in the afternoon met one at mailbox she get people magazine delivered i pointed to her mag and asked how old were you when you began to hate the truth she made a dirty asian face at me,0
measuring_hate_speech,pseudo_0680265b2a27,Somalia stinking shit hole and Somalis most arrogant black bastards in world 🌎,1
dynahate,pseudo_c075d32ead66,"Who will control all the druggys that are on the street? How will they control the hood? Or any poor neighboorhoods? Believe it or not most blacks dont care about blm they just wanted some free shit. Theres so many people who are willing to fight back against tyranny that i think something else deeper is going on. Theres something fishy going on, either that or people are being whipped up into a frenzy because it sells.",1
hatecheck,pseudo_139ba7fa2abe,Somebody should just stab those disabled people. ,1
davidson,pseudo_de305ded085a,"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&#128563;&#128563;&#128563;&#128563;&#128563;",0
dynahate,pseudo_acffd488a7a1,what an utter jerk we have here!,0
dynahate,pseudo_ef89f35b2412,I would be lying if I said I like jungle bunnies,1
measuring_hate_speech,pseudo_2a8dbedfdf76,"k roninson This is indeed a BEAUTIFUL SIGHT for my eyes. While only negative news about young Black males seems to be the game of the day, this young man proves that anyone can dream and obtain what you desire if you apply yourself. Safe skies to you my young friend.",0
hatexplain,pseudo_a49dfc50541a,i wonder how many illegal immigrants will still seek sanctuary in california lol,0
measuring_hate_speech,pseudo_011ec41e494e,@adam22 1 cuz she suck dick,0
measuring_hate_speech,pseudo_97fd2088c47b,joe is a fag,1
dynahate,pseudo_8d0e2784b257,"Hey this is nothing more than the price acting, of course halal meat and pork is cheaper than cattle meat. Of course people will usually go for the cheaper option, even if its dirtier, and there's where the economy changes pure british culture, but the consume of what is part of tradition will continue. Also the space isn't really that important since most of what the gross chinese consume is imported, look at how much soy they buy from Brazil and how much meat they import",1
toxic_spans,pseudo_f3635072f44c,"Black and Brown People still own millions of Black and Brown slaves.
They castrate them, rape them and even kill them. 
So who are you calling a supremacist, white nationalist or racist. Little Brown woman?",0
dynahate,pseudo_4cffcad14235,dykes are heinous,1
dynahate,pseudo_1f0093d07498,"I know how you feel. More than half of my school's population is mestizo, 1/4 of the population is black, and only 1/10 is white. My mom doesn't want me to leave the school but luckily this is my last year. Anyways, despite the mestizo majority, they aren't as bad as blacks. It's always black people. I had never believed in fighting, but my first fight was with this black girl after she pushed me aggressively and told me to move. I punched her and she started cursing me out in an aggressive manner. I couldn't have one word in the conversation since she kept screaming curse words at me. I got detention afterwards but it was worth it. This huge incident and a few other incidents made me afraid of them as well. I always ignore them when they tap my shoulder...cause it automatically makes me think they're going to bully me",1
dynahate,pseudo_ea85fe9c5056,"I don't accept people calling my friend retarded, the correct term is retarded fag",1
measuring_hate_speech,pseudo_1841e5fd98d7,"They all straight IRL, right?",0
dynahate,pseudo_ce44d0166bbe,"I would like to see more indigenous people in federal and state elected offices. Their people got shit on hard and not all that long ago (really even now) and continue to be largely ignored thanks to the isolation we put them in and their relatively low populations, again, a result from us. It really does bother me how little representation they get in matters that really affect them outside of their small communities. If anybody should have a say in this country, surely it is them.",0
hatexplain,pseudo_e7ee0cc9fa49,that was the plan all along to fund train arm bring the wahabi terrorists who terrorised the levant to white countries just another part of the never ending saga of the jewish holocaust of humanity,0
davidson,pseudo_4ad164c3403e,@vivaalakatyy @brotherbill7 @JHuff_5 good bitch choke,0
hatemoji_build,pseudo_8cbaccb55b46,all women r 💝,0
toxic_spans,pseudo_5db0bc60c3a5,You'd have to be an idiot to choose to make yourself an Apple victim.,0
toxic_spans,pseudo_5eaf2d4865d7,"I'm a retired psychotherapist. Among my clientele over the years were students at Etobicoke School of the Arts and Earl Haig. Without a specialized arts school to go to, they would have been education drop-outs. Instead they either became performing artists or went on to university to succeed in other fields. Killing the specialty schools would be short-sighted and foolish.",0
davidson,pseudo_3e72c60bbdd6,RT @GuyCodes: One loyal girlfriend is worth more than a hundred hoes.,0
dynahate,pseudo_f6872ecaa485,Women who go out alone at night deserve whatever happens to them,1
measuring_hate_speech,pseudo_ae678f986da4,if bitches jealous right NOW? oh y'all gone be sick once I'm UP. ongod lol,0
hatexplain,pseudo_a27d45b9d2f2,tell me more about the religionofpeace aka islam ibrahim sulaiman jihad is not inhumane despite its necessary violence and bloodshed its ultimate desire is peace which is protected and enhanced by the rule of law,0
toxic_spans,pseudo_2c1e8884ecaf,"as I said before, ass****",0
dynahate,pseudo_f80fa8a0a2c7,"They always seem to say stupid shit like ""is a truly frightful idea."" Like, grab my night cap, we've got a frightful idea over here, Florence. What's really frightening is the amount of indians in this borough",1
dynahate,pseudo_82ee8bf2e440,"We need to look out for Asians. Read this: ""Asian patients had higher odds of being hospitalized than white patients even though they were less likely to receive positive COVID-19 test results"".",0
dynahate,pseudo_834e292de9c6,muslim women look like bloody letterboxes,1
measuring_hate_speech,pseudo_6f6a11051f7a,"@realDonaldTrump fuck off, fat boy. and take your idiot supporters, chain migration family, fake god and idiotic enablers with you.",1
dynahate,pseudo_21cdf726a2e8,I have tv shows for days which are about all of this garbage culture war bullshit.,0
dynahate,pseudo_1a2cbe2af1cd,"what a trashy grotesque looking house, probably pakis that live in there",1
measuring_hate_speech,pseudo_0431a7ab55fa,I'm all for immediate deportation of these ppl.,0
dynahate,pseudo_fda479b07052,"I hear a lot of shit about arabs, only half of it is true, lol",1
toxic_spans,pseudo_8a560eb9a70f,Those darn Russians!,0
toxic_spans,pseudo_5f64e89ed176,"You Liberal Democrats are so very gullible! Guam my foot, only Fools believe the North is focusing on Guam. Kim is not crazy, he sent you all FAKE News! It's Oahu, home of the Pacific Fleet
You can take that to the bank",0
toxic_spans,pseudo_1f49918c599f,I had not thought of that aspect Dennis. I hope our military will have the courage to step in and prevent a world wide disaster. By step in I mean prevent Trump from doing something stupid if Congress won't act.,0
dynahate,pseudo_be694f2ad2af,"Most large clothing companies in my view are corporations with money-interest and thus J3wish interest at this point. It's difficult not to give money to Jewish shareholders, so I prefer to keep my consumption low, that's probably the best way to hurt J3wish interests which relate to consumerism. Here in Europe we have some Nationalist brands (Thor Steinar, etc), but I find these to be somewhat of a double edged sword because you can become a target. That being said, I obviously avoid any brand literally created by a J3w because I just can't stand having the name of a k_k_ on my clothing. Levi Strauss & Calvin Klein & Ralph Lauren comes to mind.",1
convabuse,pseudo_f2aa14faa3e1,yes,0
hatexplain,pseudo_73d5634269f7,<user> ok u still get passed onto high school retard,0
measuring_hate_speech,pseudo_d55ea71770e6,"I am a woman and I do not believe abortion is a woman's right, I do not believe it is a woman's right to kill her own flesh and blood, I am sick and tired of the argument always being that men want to make the rules about women's bodies, there are a lot of women who feel the same way. Oh and it was a woman that actually signed this into law, conveniently left that out... Get a better argument please!",0
dynahate,pseudo_ec8065a51a85,the real virus isn't corona; it's them immigrants,1
davidson,pseudo_292951b74656,dis Morgan hoe in da middle of erything....,0
davidson,pseudo_79245b4bbcf4,Foto: mimiblargh: ok pls consider this: kingdom birbs (can u guess who is who and what birds they are???... http://t.co/NWjUmmEWNJ,0
dynahate,pseudo_b99935f12e58,"It's funny how people interpret language, for example some people say it's slur to call something gay but others may not",0
davidson,pseudo_d23a73b1723b,John McCain trashes Jay Carny live on CNN - #Syria #ISIS #Obama http://t.co/ZT690BkTrI,0
dynahate,pseudo_225539ad3134,What are your best gay jokes?,1
dynahate,pseudo_ccc16b1cdec1,"Islam might be correct on a few of issues not all of them. Now, nearly all religions not only has, but condones, at some point, child rape and inbreeding, including Christianity, Hindus... they all do it. Still, it's a disgusting reason to call them desert dwellers and inbred pakis. Stop scapegoating it, look at your own culture and biases and make that strong again",0
measuring_hate_speech,pseudo_f1ce4dc31e58,Women like this need to be jailed and fined and locked up and sterilized with all their possessions taken away and trashed and their bank accounts emptied.,1
measuring_hate_speech,pseudo_59eefa526725,"The US of A is a nation of immigrants; just that some of them are earlier than others. If you want to talk about ownership or who are the indigenous people, then I would say they would be the native Americans. So you white Americans stop talking like you own the land; you may have stole the land, that's all.",0
davidson,pseudo_2b9ebdba344e,GA Charlie @Charlie4927 @sholzbee @DorisTafoya1 @cat_lmbo @Jagauress @Walter_lars @lynnemrnp @AmyMek @Justin_Awe,0
toxic_spans,pseudo_27aeb43a9eaf,"America gets to buy our natural resources at discounted prices while we have go to Walmart and buy their cheap crap for over inflated prices.  Who's going really lose if the tax wall goes up?

I the Prime Minster want to humoring Trump that's OK, but if he's giving up the high ground over bull shit, he's an idiot.",0
davidson,pseudo_f1cdc9ce5410,I'm organizing a cease fire between bald headed bitches and weave !,0
dynahate,pseudo_779957d06f2f,i want to stamp on asians,1
dynahate,pseudo_ca6df0c46f72,"The Home Secretary will target criminal gangs, illegal migrants and unscrupulous lawyers who are failing genuine refugees and costing taxpayers £1billion a year.",0
hatexplain,pseudo_87b3a479c461,<user> <user> <user> that crazy cause the yelp reviews of your white ass penis say it built like a paint brush,0
hatemoji_build,pseudo_3c07031bfd85,all the gays must ☠️,1
dynahate,pseudo_f638f68e6146,"Leko repeated that he had, before Roberts replied that ""he [Casilla] said he said 'what's your fucking name'"".",0
davidson,pseudo_c6176f23e17f,@mitchbattiste sup pussy;),0
dynahate,pseudo_0c4ddd0e25d9,supress the jews,1
hatemoji_build,pseudo_bdaf17266b00,women are actual 🤡,1
measuring_hate_speech,pseudo_18929348bfbe,we are imigrantes because we're not a native American,0
davidson,pseudo_c18adf8158a7,No nigga a leave a chick with some good pussy unless he just paper chasin,0
measuring_hate_speech,pseudo_50c4ae9157fc,White bitches! Ruining baseball since 1869.,1
toxic_spans,pseudo_8b8424f49a79,"Yes JT, just plow ahead with the same insane policies that destroyed Ontario's economy...the stupidity of this man knows no bounds.",0
hatecheck,pseudo_02251d5afb15,These black people have no right to be alive. ,1
hatecheck,pseudo_ccfce1e02bdd,I don't have anything against black people but most of them are pretty disgusting. ,1
measuring_hate_speech,pseudo_96a4425cc586,2:45 Are you assuming Asians' hair colour,0
hatexplain,pseudo_92f6f8a7cbd9,tfw a spic is a neo nazi lmao <percent>,1
toxic_spans,pseudo_8d9cad2b5f8f,"Good, flagged again for more harassment.  Hope you're butt is 86 from this site. Good riddence.",0
davidson,pseudo_3655e5845c3a,"@AllieBruner Stop being mean, bitch! ))))))):",0
hatexplain,pseudo_803624e07bcd,another liberal lie disproved it quite the opposite but the leftist anti american mainstream media would have you believe otherwise conscious and aware no not the ghetto patois woke used by assholes and dipshits patriots know the truth,0
measuring_hate_speech,pseudo_38ada662ae12,"@DugLullby @zO_OzleRBLX Bruh don't call people crackers although you are white. It references when slave owners ""cracked"" theyre whip at the slaves.",0
convabuse,pseudo_8be3dca39ed1,i'll tell you if i want to,0
hatecheck,pseudo_a9bf9a9c8f8d,Black people are wonderful beings. ,0
toxic_spans,pseudo_ecbb76a7cd5b,"""We’ve already been paying the surcharge for 10 years and to extend it would be virtually painless. ""

Foolish to be believe THAT will even be enough.  They're just selling you down the road..bit by bit.",0
measuring_hate_speech,pseudo_a617b7787a64,"Shut your faggot ass up. You know damn well how that stigma is nowhere near the same level as it is with reversed roles. This fake outrage y'all perpetrating is played out. He's a douchebag, but you're just sounding like a straight up bitch.",1
measuring_hate_speech,pseudo_882e8711844b,Cenk better hope that I never see him because if I do I am going to bend him over and corn hole him while I jerk him off. That will show the little homo not to screw with a real alpha male like me.,1
measuring_hate_speech,pseudo_d7fdf7a95e89,"mfers just be out here fucking, no trips to the doctor at all but you fucking. niggas be so disgusting.",1
measuring_hate_speech,pseudo_594ce8cd64c8,@AngryBlackLady I won't shut up. I stand for women. Transwomen can stand up for themselves.,0
measuring_hate_speech,pseudo_9a55ec9ba14b,In the bible there is also Iran and Syria but we destroyed them like literally made sure they living in the Stone Age,0
davidson,pseudo_f23d916e400a,RT @WeAllKnowA: We all know a faggot named Luke,0
measuring_hate_speech,pseudo_70a7673dcdb8,Fucking white people who was taking selfies sometimes I WAKE UP FUCHFBXKDKCJDJDND 5 month.,0
davidson,pseudo_d2c24c5dcd91,"@wbpictures no, i do not wish to spend $40+ to go to a filthy theatre and watch a fuzzy screen with bad sound. #ANNABELLE",0
toxic_spans,pseudo_3642d0176c4e,"Stupid woman. Should've at least locked the car. But then, this would be someone to tell you to mind your own business if you asked her kids politely to move out of your way. Been on the crappy side of that scenario too.

Thanks for speaking up Mr Matherly. We should all look out for each other, esp small kids and the elderly.",0
dynahate,pseudo_38e090d17354,"if you think smart, immigrants are the real danger to society",1
measuring_hate_speech,pseudo_7b4c912e6c46,get those kids out of concentration camps first you dick URL,0
hatexplain,pseudo_b2d9585965f1,i am so sick of watching them be rewarded because they are ghetto iq morons,0
dynahate,pseudo_fcf3052b7a4a,Aravis are lazy af,1
hatecheck,pseudo_e22bfbb4f33a,I am not surprised the idea was bullshit. It came from a trans person after all. ,1
toxic_spans,pseudo_716f6ddb8803,"Morons on both sides of this one.

Some one the stuff these people are saying is stupid and offensive, even though they have a right to say it.  But it's also wrong for people that don't like it to resort to physical violence in response.",0
toxic_spans,pseudo_abd2fc0e6343,"Elton John should sue Donald for using ""Rocket Man"". Damn DOTARD.",0
hatemoji_build,pseudo_e779e03c392b,i mean i like going to the fun fair but its quite expensive lol 🎡,0
measuring_hate_speech,pseudo_b89f7afd5a5f,"@vampire6442014 @IbraheemSamirah @realDonaldTrump You are a nasty bitch, just like all your baby killing girlfriends, and guess what? No one gives a shit about your pathetic hateful life. You probably wear a vagina hat as well don't you?",1
dynahate,pseudo_ae974366a4d4,"Look at this ""And after giving his moral lecture on the undeniable jewish superiority, Rabbi Pornhub went to a ritual to suck a babies penis. Even though he had Herpes, which he had contracted at the local brothel from a polish slave girl"" Who writes this shit?",0
convabuse,pseudo_5d69aa9b4a73,how are you?,0
davidson,pseudo_231c1b75b14f,"@popularcritic1 @discordianslip @fredrogers75 And you thought a camera would steal your soul. Shut the fuck up, you stupid twat.",0
davidson,pseudo_fef11b3fd2c2,"""@RenegadeMo: Fat hoes get chose"" lol",0
dynahate,pseudo_c7c457ccd303,The world would be so much better if we weren't colourblind - I'd be happier just mixing with whites,1
hatexplain,pseudo_5afba5b2c2e7,she did not dyke her haircut did she dat bod tho,0
measuring_hate_speech,pseudo_b07e961a9ca9,You're mentally ill... get back on your meds and go bang a few hookers.,0
measuring_hate_speech,pseudo_36e600b2a108,Stfu stupid ass bitch,0
dynahate,pseudo_e1b2a5f7201d,"The Yaquis and Aztecs of Mexico look quite Asian but I think the Plains Indians and Cherokees intermarried with the Solutreans (Early Europeans) that were here before them (10,000 to 12,000 years ago). All tribes are not created equal. An easy way to size up the ancestry of Indians is to note the distance between shoulder and elbow. If they are close together meaning they have a short upper arm, they're probably related to Asian people. One thing I noticed about the tribes in Montana is they seem to interact with Indians of different tribes more than they do with whites.",0
hatemoji_build,pseudo_58f3f102e91e,you can be anti-🏳️‍🌈 but there's no need to promote hate in our 🏫👨🏻‍🏫,0
measuring_hate_speech,pseudo_23429054b6c9,"But y'all limp dicks are like ""i need me a thick bitch"" man stfu before i sit on you and end your life",1
toxic_spans,pseudo_6aaed0dbec6d,"Yeah, but in reality the greedy governments care more about the taxes they collect from tobacco than they care about their stupid citizens. Simple.",0
davidson,pseudo_5bcc4c92769b,@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.,1
dynahate,pseudo_9b6aa9d5aadb,shares are only worth the amount of money they can give,0
measuring_hate_speech,pseudo_3655ab195ea2,Perhaps you could take precautions to NOT get pregnant? Why the FUCK should you get to murder a human life because you're too stupid to not get pregnant in the first place? You're alive. Why shouldn't the life inside of you have a chance of seeing the world? You cruel idiotic selfish creature. I wish every creature like you could experience the moment of abortion for the baby inside you. So you know you're a murderer. Fucking idiot.,1
hatemoji_build,pseudo_70c59f33d8b8,those Fl🅰️gs are becoming a problem,0
hatemoji_build,pseudo_ba971a113cc8,👩🏿  are ugly and heinous animals,1
dynahate,pseudo_63c37c1bb900,ggggggggayyyyyyyyys r chiiiiiiiiiiiiic,0
davidson,pseudo_f950bc908061,@KeyshawnSwag on god niggaa be tryna say aids been out longer and shit like no bitch Ebola been out here &#128514;,0
dynahate,pseudo_ac23b9dbc101,the great wall is amazing. It's the greatest thing that they have ever made‚ it's more ambitious to what we have made in the west.,0
measuring_hate_speech,pseudo_ba1875955cf3,"Dumbass, feminist is one of the sign an empire will fall. Among other dumbshit. Fking retard.",1
measuring_hate_speech,pseudo_5da57ace754d,And ur probably a product of incest.,0
toxic_spans,pseudo_317bf577a822,"As ""Fingers"" McDoofus, an old 18C friend of mine (name changed to protect the stupid) told me, ""Pay attention when dealing with explosives"".",0
davidson,pseudo_2ce2ec45d97a,RT @DoctoroftheDead: @Jackson_D_Chase @violet_berry_ You realize I&#8217;m going to have to get out all those #horror and other poems I wrote abo&#8230;,0
toxic_spans,pseudo_274eaead26c1,Yes. And you're a moron if you think so.,0
toxic_spans,pseudo_be71a87f48db,"So you are an idiot! Read up on the differences between our fine democracies. The Liberal party got 39% , which was than the other parties. All Trudeau had to do was win his riding.",0
measuring_hate_speech,pseudo_fd5ff8f559eb,Deport that motherfucker!,1
measuring_hate_speech,pseudo_941e455f76d1,"your duo is so good, i wish a have a boyfriend like that. gay is ok",0
